Agent;Agent_Type;Chosen_Action;Performance_Score;Epoch
4296802305;greedy;Attack;14.5;3
4299948033;greedy;Attack;3.0;3
4302569473;attacker;Attack;14.5;3
4300210177;runner;Flee;1.0;3
4297064449;greedy;Attack;14.5;3
4300472321;attacker;Attack;14.5;3
4302307329;rational;Attack;14.5;3
4302831617;runner;Flee;10.5;3
4297588737;runner;Flee;-0.5;3
4302045185;rational;Attack;14.5;3
4295753729;greedy;Attack;14.5;3
4295229441;rational;Attack;14.5;3
4294967297;greedy;Attack;-0.5;3
4301783041;rational;Attack;14.5;3
4299685889;attacker;Attack;3.0;3
4298375169;rational;Attack;14.5;3
4303355905;greedy;Attack;14.5;3
4303880193;rational;Attack;10.5;3
4301258753;rational;Attack;-0.5;3
4298637313;runner;Flee;10.5;3
4297850881;attacker;Attack;14.5;3
4296540161;rational;Attack;3.0;3
4296278017;greedy;Attack;10.5;3
4295491585;greedy;Attack;14.5;3
4300210177;rational;Attack;3.0;4
4296802305;runner;Flee;11.0;4
4297064449;rational;Attack;15.0;4
4303880193;greedy;Attack;15.0;4
4302831617;runner;Flee;11.0;4
4301783041;greedy;Attack;15.0;4
4298637313;rational;Attack;15.0;4
4302307329;greedy;Attack;15.0;4
4302045185;runner;Flee;11.0;4
4299948033;attacker;Attack;3.0;4
4294967297;attacker;Attack;3.0;4
4300472321;attacker;Attack;15.0;4
4303355905;rational;Attack;11.0;4
4296278017;attacker;Attack;15.0;4
4298375169;greedy;Attack;15.0;4
4295491585;greedy;Attack;0.0;4
4296540161;greedy;Attack;3.5;4
4297588737;rational;Attack;15.0;4
4302569473;runner;Flee;11.0;4
4297850881;rational;Attack;15.0;4
4295229441;rational;Attack;15.0;4
4295753729;greedy;Attack;-1.0;4
4301258753;rational;Attack;-0.5;4
4299685889;greedy;Attack;3.0;4
4302307329;rational;Flee;0.0;5
4303355905;rational;Flee;-1.0;5
4297850881;runner;Flee;12.0;5
4296802305;rational;Flee;0.0;5
4295229441;rational;Flee;2.0;5
4295491585;runner;Flee;0.0;5
4299685889;runner;Flee;0.0;5
4301258753;greedy;Flee;-0.5;5
4299948033;greedy;Flee;0.0;5
4298637313;attacker;Attack;12.0;5
4296278017;greedy;Flee;12.0;5
4300472321;rational;Flee;12.0;5
4301783041;greedy;Flee;12.0;5
4297064449;greedy;Flee;12.0;5
4300210177;attacker;Attack;-1.0;5
4302831617;attacker;Attack;12.0;5
4296540161;rational;Flee;0.0;5
4302045185;attacker;Attack;-1.0;5
4302569473;runner;Flee;12.0;5
4294967297;rational;Flee;-1.0;5
4298375169;rational;Flee;12.0;5
4295753729;greedy;Flee;-0.5;5
4297588737;greedy;Flee;12.0;5
4303880193;greedy;Flee;12.0;5
4296278017;runner;Flee;10.5;6
4300472321;attacker;Attack;14.5;6
4296802305;attacker;Attack;14.5;6
4296540161;rational;Attack;3.0;6
4301258753;runner;Flee;0.0;6
4303355905;attacker;Attack;14.5;6
4303880193;rational;Attack;10.5;6
4297850881;attacker;Attack;14.5;6
4299685889;greedy;Attack;3.0;6
4301783041;greedy;Attack;14.5;6
4294967297;greedy;Attack;3.0;6
4295753729;rational;Attack;14.5;6
4302831617;greedy;Attack;10.5;6
4300210177;greedy;Attack;-0.5;6
4302569473;rational;Attack;14.5;6
4302307329;rational;Attack;14.5;6
4295491585;rational;Attack;14.5;6
4298637313;greedy;Attack;14.5;6
4302045185;greedy;Attack;14.5;6
4298375169;runner;Flee;10.5;6
4297588737;runner;Flee;-1.0;6
4295229441;greedy;Attack;14.5;6
4297064449;rational;Attack;14.5;6
4299948033;rational;Attack;-1.0;6
4302831617;greedy;Attack;15.0;7
4294967297;rational;Attack;3.0;7
4295753729;greedy;Attack;3.0;7
4299948033;greedy;Attack;3.0;7
4297850881;greedy;Attack;-0.5;7
4297588737;rational;Attack;11.0;7
4302307329;greedy;Attack;15.0;7
4301783041;greedy;Attack;15.0;7
4302045185;attacker;Attack;15.0;7
4303355905;rational;Attack;15.0;7
4295229441;runner;Flee;11.0;7
4295491585;greedy;Attack;15.0;7
4298637313;attacker;Attack;15.0;7
4296278017;rational;Attack;11.0;7
4296540161;rational;Attack;3.0;7
4297064449;greedy;Attack;11.0;7
4298375169;attacker;Attack;15.0;7
4302569473;rational;Attack;15.0;7
4303880193;runner;Flee;11.0;7
4299685889;runner;Flee;-1.0;7
4296802305;rational;Attack;15.0;7
4300472321;rational;Attack;15.0;7
4301258753;attacker;Attack;3.0;7
4300210177;runner;Flee;-1.0;7
4298637313;attacker;Attack;15.0;8
4303880193;runner;Flee;11.0;8
4294967297;rational;Attack;3.0;8
4303355905;rational;Attack;15.0;8
4301783041;runner;Flee;11.0;8
4301258753;greedy;Attack;3.0;8
4302569473;greedy;Attack;11.0;8
4295229441;greedy;Attack;15.0;8
4302307329;greedy;Attack;-0.5;8
4295491585;rational;Attack;15.0;8
4300210177;runner;Flee;-0.5;8
4297588737;rational;Attack;-0.5;8
4297850881;rational;Attack;15.0;8
4302045185;rational;Attack;15.0;8
4302831617;greedy;Attack;15.0;8
4300472321;greedy;Attack;15.0;8
4296540161;attacker;Attack;3.5;8
4295753729;runner;Flee;-1.0;8
4298375169;attacker;Attack;15.0;8
4296802305;greedy;Attack;15.0;8
4299685889;attacker;Attack;3.0;8
4299948033;greedy;Attack;3.0;8
4296278017;rational;Attack;11.0;8
4297064449;rational;Attack;15.0;8
4296278017;rational;Attack;14.0;9
4302307329;rational;Attack;14.0;9
4301258753;rational;Attack;3.0;9
4294967297;attacker;Attack;3.0;9
4303880193;greedy;Attack;14.0;9
4299685889;runner;Flee;10.0;9
4302569473;greedy;Attack;14.0;9
4296540161;rational;Attack;3.0;9
4301783041;rational;Attack;14.0;9
4299948033;greedy;Attack;3.0;9
4300210177;greedy;Attack;3.0;9
4296802305;runner;Flee;10.0;9
4302831617;greedy;Attack;14.0;9
4302045185;rational;Attack;-1.0;9
4297064449;rational;Attack;10.0;9
4300472321;attacker;Attack;14.0;9
4295229441;runner;Flee;10.0;9
4297588737;greedy;Attack;14.0;9
4298637313;rational;Attack;14.0;9
4297850881;greedy;Attack;10.0;9
4298375169;attacker;Attack;14.0;9
4295491585;greedy;Attack;-1.0;9
4303355905;runner;Flee;10.0;9
4295753729;attacker;Attack;14.0;9
4302831617;attacker;Attack;11.0;0
4295229441;runner;Flee;11.0;0
4296278017;greedy;Attack;11.0;0
4298637313;greedy;Attack;11.0;0
4295491585;rational;Attack;11.0;0
4295753729;rational;Attack;15.0;0
4301783041;attacker;Attack;15.0;0
4303880193;runner;Flee;11.0;0
4300472321;rational;Attack;11.0;0
4301258753;rational;Attack;-5.0;0
4302045185;greedy;Attack;15.0;0
4298375169;rational;Attack;11.0;0
4297588737;greedy;Attack;-4.5;0
4297064449;greedy;Attack;11.0;0
4299685889;rational;Attack;-5.0;0
4296540161;greedy;Attack;-5.0;0
4300210177;attacker;Attack;-5.0;0
4296802305;runner;Flee;11.0;0
4297850881;rational;Attack;-4.5;0
4294967297;runner;Flee;-4.5;0
4299948033;attacker;Attack;-5.0;0
4303355905;greedy;Attack;15.0;0
4302569473;rational;Attack;15.0;0
4302307329;greedy;Attack;15.0;0
4296278017;rational;Attack;11.0;1
4301783041;greedy;Attack;11.0;1
4297588737;greedy;Attack;15.0;1
4296802305;greedy;Attack;15.0;1
4302307329;runner;Flee;11.0;1
4303880193;attacker;Attack;15.0;1
4303355905;runner;Flee;11.0;1
4295491585;rational;Attack;15.0;1
4300210177;runner;Flee;-4.5;1
4299685889;rational;Attack;-5.0;1
4298375169;greedy;Attack;11.0;1
4294967297;attacker;Attack;-5.0;1
4302569473;greedy;Attack;15.0;1
4299948033;rational;Attack;-5.0;1
4297064449;attacker;Attack;11.0;1
4301258753;rational;Attack;-5.0;1
4298637313;greedy;Attack;11.0;1
4296540161;rational;Attack;-4.5;1
4302045185;greedy;Attack;-4.5;1
4302831617;rational;Attack;11.0;1
4295753729;greedy;Attack;15.0;1
4300472321;runner;Flee;11.0;1
4297850881;attacker;Attack;15.0;1
4295229441;rational;Attack;15.0;1
4296540161;runner;Flee;-1.5;2
4303880193;greedy;Flee;11.0;2
4300210177;runner;Flee;-3.5;2
4299948033;attacker;Attack;-5.0;2
4303355905;rational;Flee;11.0;2
4295753729;rational;Flee;-4.5;2
4297064449;rational;Flee;11.0;2
4302831617;runner;Flee;-4.0;2
4299685889;greedy;Flee;-3.5;2
4298375169;greedy;Flee;11.0;2
4300472321;rational;Flee;11.0;2
4296802305;greedy;Flee;11.0;2
4301258753;rational;Flee;11.0;2
4302307329;rational;Flee;-3.5;2
4297850881;attacker;Attack;11.0;2
4296278017;greedy;Flee;11.0;2
4302045185;rational;Flee;11.0;2
4301783041;greedy;Flee;11.0;2
4295229441;rational;Flee;11.0;2
4294967297;greedy;Flee;-5.0;2
4298637313;runner;Flee;11.0;2
4302569473;attacker;Attack;-4.5;2
4297588737;greedy;Flee;-4.5;2
4295491585;attacker;Attack;-4.5;2
4296540161;runner;Flee;-2.5;3
4302045185;rational;Attack;14.5;3
4301258753;greedy;Attack;-5.0;3
4302569473;attacker;Attack;14.5;3
4303355905;rational;Attack;14.5;3
4303880193;greedy;Attack;14.5;3
4296278017;attacker;Attack;10.5;3
4299685889;attacker;Attack;-5.0;3
4294967297;runner;Flee;-4.5;3
4296802305;rational;Attack;14.5;3
4302307329;greedy;Attack;10.5;3
4297850881;greedy;Attack;14.5;3
4297588737;attacker;Attack;14.5;3
4300472321;greedy;Attack;10.5;3
4302831617;rational;Attack;10.5;3
4295229441;greedy;Attack;14.5;3
4295753729;greedy;Attack;14.5;3
4299948033;rational;Attack;-5.0;3
4301783041;runner;Flee;10.5;3
4295491585;greedy;Attack;14.5;3
4298637313;rational;Attack;10.5;3
4300210177;rational;Attack;-5.0;3
4297064449;rational;Attack;10.5;3
4298375169;runner;Flee;10.5;3
4302307329;attacker;Attack;16.0;4
4297588737;rational;Attack;-4.5;4
4303880193;runner;Flee;12.0;4
4296802305;rational;Attack;16.0;4
4302831617;rational;Attack;12.0;4
4301783041;greedy;Attack;16.0;4
4299685889;greedy;Attack;-5.0;4
4301258753;attacker;Attack;-5.0;4
4297850881;greedy;Attack;16.0;4
4295753729;runner;Flee;12.0;4
4299948033;runner;Flee;-3.5;4
4303355905;runner;Flee;-4.5;4
4296540161;rational;Attack;-4.5;4
4300210177;rational;Attack;-5.0;4
4302045185;greedy;Attack;-4.5;4
4300472321;rational;Attack;12.0;4
4302569473;rational;Attack;-4.5;4
4297064449;greedy;Attack;12.0;4
4295491585;attacker;Attack;16.0;4
4298375169;greedy;Attack;12.0;4
4294967297;greedy;Attack;-5.0;4
4298637313;rational;Attack;12.0;4
4296278017;greedy;Attack;12.0;4
4295229441;attacker;Attack;16.0;4
4294967297;attacker;Attack;-4.5;5
4296540161;runner;Flee;-2.5;5
4296802305;greedy;Flee;11.5;5
4303355905;runner;Flee;-4.0;5
4301783041;greedy;Flee;11.5;5
4302569473;attacker;Attack;-4.5;5
4302045185;greedy;Flee;-4.0;5
4295491585;attacker;Attack;-4.0;5
4295753729;rational;Flee;11.5;5
4297064449;rational;Flee;11.5;5
4298637313;greedy;Flee;11.5;5
4300472321;rational;Flee;11.5;5
4302307329;greedy;Flee;-4.0;5
4297850881;rational;Flee;-3.0;5
4295229441;rational;Flee;11.5;5
4298375169;greedy;Flee;11.5;5
4303880193;rational;Flee;11.5;5
4302831617;runner;Flee;11.5;5
4301258753;rational;Flee;-2.5;5
4299685889;attacker;Attack;-5.0;5
4299948033;rational;Flee;-3.5;5
4296278017;greedy;Flee;11.5;5
4300210177;runner;Flee;-3.5;5
4297588737;greedy;Flee;-4.0;5
4297850881;rational;Attack;-4.5;6
4295229441;runner;Flee;11.0;6
4302831617;greedy;Attack;11.0;6
4298375169;rational;Attack;11.0;6
4302045185;greedy;Attack;-4.5;6
4296540161;greedy;Attack;-4.5;6
4299685889;greedy;Attack;-5.0;6
4295491585;attacker;Attack;15.0;6
4299948033;runner;Flee;-3.5;6
4302569473;rational;Attack;15.0;6
4297064449;greedy;Attack;11.0;6
4300472321;rational;Attack;11.0;6
4297588737;attacker;Attack;15.0;6
4301783041;greedy;Attack;15.0;6
4296278017;attacker;Attack;11.0;6
4294967297;rational;Attack;-5.0;6
4303880193;greedy;Attack;15.0;6
4300210177;rational;Attack;-5.0;6
4301258753;runner;Flee;-4.5;6
4303355905;runner;Flee;-4.5;6
4295753729;attacker;Attack;15.0;6
4302307329;rational;Attack;15.0;6
4298637313;rational;Attack;11.0;6
4296802305;greedy;Attack;15.0;6
4300472321;rational;Flee;11.0;7
4298637313;runner;Flee;11.0;7
4295753729;runner;Flee;11.0;7
4302045185;attacker;Attack;-4.5;7
4302569473;rational;Flee;-4.0;7
4296802305;rational;Flee;11.0;7
4298375169;rational;Flee;11.0;7
4300210177;runner;Flee;-3.5;7
4296278017;greedy;Flee;11.0;7
4303355905;greedy;Flee;-4.5;7
4297588737;greedy;Flee;-3.5;7
4301258753;greedy;Flee;-4.5;7
4302831617;attacker;Attack;11.0;7
4299685889;attacker;Attack;-5.0;7
4294967297;greedy;Flee;-4.5;7
4297850881;rational;Flee;11.0;7
4295229441;attacker;Attack;11.0;7
4299948033;greedy;Flee;-4.0;7
4295491585;runner;Flee;-1.0;7
4302307329;rational;Flee;-3.0;7
4301783041;greedy;Flee;11.0;7
4297064449;rational;Flee;11.0;7
4303880193;greedy;Flee;11.0;7
4296540161;rational;Flee;-3.5;7
4297588737;greedy;Flee;-3.5;8
4299948033;greedy;Flee;-3.5;8
4302831617;rational;Flee;-3.5;8
4303880193;greedy;Flee;-3.5;8
4299685889;rational;Flee;-4.0;8
4300472321;runner;Flee;11.5;8
4302045185;rational;Flee;11.5;8
4301783041;greedy;Flee;11.5;8
4296278017;attacker;Attack;11.5;8
4300210177;rational;Flee;-4.5;8
4303355905;greedy;Flee;-4.0;8
4302307329;attacker;Attack;-4.5;8
4295753729;runner;Flee;11.5;8
4296802305;runner;Flee;-3.5;8
4298375169;attacker;Attack;11.5;8
4295491585;rational;Flee;-3.5;8
4294967297;rational;Flee;-4.5;8
4297850881;attacker;Attack;11.5;8
4301258753;greedy;Flee;11.5;8
4295229441;rational;Flee;11.5;8
4298637313;rational;Flee;11.5;8
4296540161;greedy;Flee;-3.5;8
4302569473;greedy;Flee;-4.0;8
4297064449;runner;Flee;11.5;8
4303355905;attacker;Attack;14.5;9
4302569473;attacker;Attack;14.5;9
4295229441;greedy;Attack;14.5;9
4295753729;greedy;Attack;14.5;9
4298637313;greedy;Attack;10.5;9
4298375169;rational;Attack;10.5;9
4300210177;greedy;Attack;-4.5;9
4302045185;rational;Attack;14.5;9
4297588737;rational;Attack;14.5;9
4296278017;runner;Flee;10.5;9
4300472321;rational;Attack;10.5;9
4299685889;greedy;Attack;-5.0;9
4302831617;greedy;Attack;10.5;9
4297064449;rational;Attack;10.5;9
4302307329;rational;Attack;-5.0;9
4296802305;runner;Flee;10.5;9
4297850881;greedy;Attack;14.5;9
4303880193;rational;Attack;14.5;9
4295491585;greedy;Attack;-4.5;9
4294967297;rational;Attack;-5.0;9
4299948033;attacker;Attack;-5.0;9
4301258753;attacker;Attack;-5.0;9
4296540161;runner;Flee;-4.0;9
4301783041;runner;Flee;10.5;9
4298637313;rational;Attack;10.5;0
4302045185;greedy;Attack;14.5;0
4295491585;attacker;Attack;14.5;0
4296802305;rational;Attack;14.5;0
4303355905;attacker;Attack;14.5;0
4302307329;runner;Flee;10.5;0
4300210177;attacker;Attack;-5.0;0
4297064449;rational;Attack;10.5;0
4295753729;rational;Attack;14.5;0
4296540161;greedy;Attack;-4.5;0
4295229441;rational;Attack;10.5;0
4294967297;attacker;Attack;-5.0;0
4297588737;greedy;Attack;14.5;0
4302831617;runner;Flee;-4.5;0
4301258753;rational;Attack;-4.5;0
4301783041;greedy;Attack;10.5;0
4302569473;greedy;Attack;14.5;0
4299685889;rational;Attack;-5.0;0
4303880193;greedy;Attack;14.5;0
4297850881;runner;Flee;10.5;0
4299948033;greedy;Attack;-5.0;0
4300472321;runner;Flee;10.5;0
4298375169;rational;Attack;10.5;0
4296278017;greedy;Attack;10.5;0
4297850881;greedy;Attack;14.5;1
4296802305;runner;Flee;10.5;1
4298637313;runner;Flee;10.5;1
4302307329;runner;Flee;10.5;1
4301258753;rational;Attack;-5.0;1
4297064449;runner;Flee;10.5;1
4302045185;rational;Attack;14.5;1
4302569473;greedy;Attack;14.5;1
4299948033;greedy;Attack;-5.0;1
4295491585;rational;Attack;-4.0;1
4297588737;rational;Attack;14.5;1
4300210177;attacker;Attack;-5.0;1
4295753729;attacker;Attack;14.5;1
4300472321;rational;Attack;10.5;1
4295229441;greedy;Attack;14.5;1
4298375169;attacker;Attack;10.5;1
4301783041;greedy;Attack;10.5;1
4296540161;greedy;Attack;-4.5;1
4302831617;greedy;Attack;10.5;1
